location_name,abbreviation,horizon,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_fullnames
Missouri,MO,3,2024-11-23,2024-12-14,CMU-TimeSeries,12.76472131925209,290.97137171631607,548.4349940591846,634.0417274132111,855.2145389910264,13,291,548,634,855,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Missouri,MO,3,2024-11-23,2024-12-14,CMU-TimeSeries,12.76472131925209,290.97137171631607,548.4349940591846,634.0417274132111,855.2145389910264,13,291,548,634,855,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Mississippi,MS,-1,2024-11-23,2024-11-16,CMU-TimeSeries,7.385761771391,63.51257388441358,82.7309073222247,108.06171065569188,191.15140635102946,7,64,83,108,191,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Mississippi,MS,-1,2024-11-23,2024-11-16,CMU-TimeSeries,7.385761771391,63.51257388441358,82.7309073222247,108.06171065569188,191.15140635102946,7,64,83,108,191,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Mississippi,MS,0,2024-11-23,2024-11-23,CMU-TimeSeries,10.362289181867808,69.2111975546215,89.76270752902326,127.25590240199712,229.87499438633117,10,69,90,127,230,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Mississippi,MS,0,2024-11-23,2024-11-23,CMU-TimeSeries,10.362289181867808,69.2111975546215,89.76270752902326,127.25590240199712,229.87499438633117,10,69,90,127,230,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Mississippi,MS,1,2024-11-23,2024-11-30,CMU-TimeSeries,3.61564362895922,73.10432489158772,110.13513832223425,152.13547299397,270.4135293980862,4,73,110,152,270,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Mississippi,MS,1,2024-11-23,2024-11-30,CMU-TimeSeries,3.61564362895922,73.10432489158772,110.13513832223425,152.13547299397,270.4135293980862,4,73,110,152,270,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Mississippi,MS,2,2024-11-23,2024-12-07,CMU-TimeSeries,4.253428610917205,80.85702156673928,122.82315278838277,173.58441793912192,381.52433748520957,4,81,123,174,382,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Mississippi,MS,2,2024-11-23,2024-12-07,CMU-TimeSeries,4.253428610917205,80.85702156673928,122.82315278838277,173.58441793912192,381.52433748520957,4,81,123,174,382,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Mississippi,MS,3,2024-11-23,2024-12-14,CMU-TimeSeries,3.522624736296598,78.1030519055398,134.87948372504832,186.58892937859815,390.11259702547846,4,78,135,187,390,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Mississippi,MS,3,2024-11-23,2024-12-14,CMU-TimeSeries,3.522624736296598,78.1030519055398,134.87948372504832,186.58892937859815,390.11259702547846,4,78,135,187,390,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Montana,MT,-1,2024-11-23,2024-11-16,CMU-TimeSeries,10.985903508589988,61.52559351711233,91.62873851210861,107.94277615928004,131.16910437986778,11,62,92,108,131,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Montana,MT,-1,2024-11-23,2024-11-16,CMU-TimeSeries,10.985903508589988,61.52559351711233,91.62873851210861,107.94277615928004,131.16910437986778,11,62,92,108,131,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Montana,MT,0,2024-11-23,2024-11-23,CMU-TimeSeries,10.985903508589988,62.02025063865339,94.42713172284411,114.96428000680422,138.11622467020953,11,62,94,115,138,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Montana,MT,0,2024-11-23,2024-11-23,CMU-TimeSeries,10.985903508589988,62.02025063865339,94.42713172284411,114.96428000680422,138.11622467020953,11,62,94,115,138,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Montana,MT,1,2024-11-23,2024-11-30,CMU-TimeSeries,24.562029998482846,85.20191187873127,98.00260819025857,117.27171154281291,143.38197221577377,25,85,98,117,143,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Montana,MT,1,2024-11-23,2024-11-30,CMU-TimeSeries,24.562029998482846,85.20191187873127,98.00260819025857,117.27171154281291,143.38197221577377,25,85,98,117,143,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Montana,MT,2,2024-11-23,2024-12-07,CMU-TimeSeries,21.93111481386028,85.77665328481501,103.4373278584379,120.82510224313586,144.5913854963971,22,86,103,121,145,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Montana,MT,2,2024-11-23,2024-12-07,CMU-TimeSeries,21.93111481386028,85.77665328481501,103.4373278584379,120.82510224313586,144.5913854963971,22,86,103,121,145,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Montana,MT,3,2024-11-23,2024-12-14,CMU-TimeSeries,11.95789332697271,72.58382318533032,104.6955786062883,123.61408591729185,144.1994700586332,12,73,105,124,144,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Montana,MT,3,2024-11-23,2024-12-14,CMU-TimeSeries,11.95789332697271,72.58382318533032,104.6955786062883,123.61408591729185,144.1994700586332,12,73,105,124,144,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Carolina,NC,-1,2024-11-23,2024-11-16,CMU-TimeSeries,67.6212192447914,293.59696817067265,366.17570266048716,459.39509769902844,693.0859477060886,68,294,366,459,693,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Carolina,NC,-1,2024-11-23,2024-11-16,CMU-TimeSeries,67.6212192447914,293.59696817067265,366.17570266048716,459.39509769902844,693.0859477060886,68,294,366,459,693,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Carolina,NC,0,2024-11-23,2024-11-23,CMU-TimeSeries,60.204760060553674,302.4715778086509,396.8066464240604,490.0481486073742,822.0488938053636,60,302,397,490,822,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Carolina,NC,0,2024-11-23,2024-11-23,CMU-TimeSeries,60.204760060553674,302.4715778086509,396.8066464240604,490.0481486073742,822.0488938053636,60,302,397,490,822,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Carolina,NC,1,2024-11-23,2024-11-30,CMU-TimeSeries,63.08138205722179,316.95652207135834,425.01973842703524,549.0619080604619,1026.143108669173,63,317,425,549,1026,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Carolina,NC,1,2024-11-23,2024-11-30,CMU-TimeSeries,63.08138205722179,316.95652207135834,425.01973842703524,549.0619080604619,1026.143108669173,63,317,425,549,1026,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Carolina,NC,2,2024-11-23,2024-12-07,CMU-TimeSeries,55.032142410475636,328.5429551761649,470.5953566081446,628.341118893682,1375.2178461658038,55,329,471,628,1375,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Carolina,NC,2,2024-11-23,2024-12-07,CMU-TimeSeries,55.032142410475636,328.5429551761649,470.5953566081446,628.341118893682,1375.2178461658038,55,329,471,628,1375,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Carolina,NC,3,2024-11-23,2024-12-14,CMU-TimeSeries,43.76770442791709,291.54026753290583,505.55012997608964,677.5819484078431,1412.0056155154261,44,292,506,678,1412,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Carolina,NC,3,2024-11-23,2024-12-14,CMU-TimeSeries,43.76770442791709,291.54026753290583,505.55012997608964,677.5819484078431,1412.0056155154261,44,292,506,678,1412,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Dakota,ND,-1,2024-11-23,2024-11-16,CMU-TimeSeries,2.8250657426944086,25.292177943024818,41.87436716678885,55.150529331260714,75.81772229768528,3,25,42,55,76,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Dakota,ND,-1,2024-11-23,2024-11-16,CMU-TimeSeries,2.8250657426944086,25.292177943024818,41.87436716678885,55.150529331260714,75.81772229768528,3,25,42,55,76,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Dakota,ND,0,2024-11-23,2024-11-23,CMU-TimeSeries,2.8250657426944086,25.285434537254552,42.87266047867048,56.100934171293716,80.1019811183111,3,25,43,56,80,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Dakota,ND,0,2024-11-23,2024-11-23,CMU-TimeSeries,2.8250657426944086,25.285434537254552,42.87266047867048,56.100934171293716,80.1019811183111,3,25,43,56,80,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Dakota,ND,1,2024-11-23,2024-11-30,CMU-TimeSeries,2.8250657426944086,30.358838538715535,49.776345007013106,61.74247977980395,84.83779316920051,3,30,50,62,85,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Dakota,ND,1,2024-11-23,2024-11-30,CMU-TimeSeries,2.8250657426944086,30.358838538715535,49.776345007013106,61.74247977980395,84.83779316920051,3,30,50,62,85,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Dakota,ND,2,2024-11-23,2024-12-07,CMU-TimeSeries,2.8250657426944086,30.462774531943946,52.01305762763734,63.120972496586525,91.16306140066588,3,30,52,63,91,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Dakota,ND,2,2024-11-23,2024-12-07,CMU-TimeSeries,2.8250657426944086,30.462774531943946,52.01305762763734,63.120972496586525,91.16306140066588,3,30,52,63,91,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Dakota,ND,3,2024-11-23,2024-12-14,CMU-TimeSeries,2.800593053305772,21.042326501488954,52.63625794573317,64.59793616676593,92.75818013910593,3,21,53,65,93,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
North Dakota,ND,3,2024-11-23,2024-12-14,CMU-TimeSeries,2.800593053305772,21.042326501488954,52.63625794573317,64.59793616676593,92.75818013910593,3,21,53,65,93,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nebraska,NE,-1,2024-11-23,2024-11-16,CMU-TimeSeries,8.862988659972654,73.21212238009618,103.57817497647909,136.58210325378985,207.05068820150117,9,73,104,137,207,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nebraska,NE,-1,2024-11-23,2024-11-16,CMU-TimeSeries,8.862988659972654,73.21212238009618,103.57817497647909,136.58210325378985,207.05068820150117,9,73,104,137,207,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nebraska,NE,0,2024-11-23,2024-11-23,CMU-TimeSeries,7.870176582746181,80.99677031745,118.10435675227131,155.3619840527125,225.41900661845747,8,81,118,155,225,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nebraska,NE,0,2024-11-23,2024-11-23,CMU-TimeSeries,7.870176582746181,80.99677031745,118.10435675227131,155.3619840527125,225.41900661845747,8,81,118,155,225,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nebraska,NE,1,2024-11-23,2024-11-30,CMU-TimeSeries,8.115120203403983,92.1526051811632,132.5217628124928,166.05605531260247,244.45334230464664,8,92,133,166,244,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nebraska,NE,1,2024-11-23,2024-11-30,CMU-TimeSeries,8.115120203403983,92.1526051811632,132.5217628124928,166.05605531260247,244.45334230464664,8,92,133,166,244,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nebraska,NE,2,2024-11-23,2024-12-07,CMU-TimeSeries,7.870176582746181,94.25294743092036,141.89820646653826,172.1162196923221,249.78255492831684,8,94,142,172,250,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nebraska,NE,2,2024-11-23,2024-12-07,CMU-TimeSeries,7.870176582746181,94.25294743092036,141.89820646653826,172.1162196923221,249.78255492831684,8,94,142,172,250,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nebraska,NE,3,2024-11-23,2024-12-14,CMU-TimeSeries,7.808562351181609,77.90232468227067,148.8594449778684,179.95538000354122,253.85411390256954,8,78,149,180,254,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nebraska,NE,3,2024-11-23,2024-12-14,CMU-TimeSeries,7.808562351181609,77.90232468227067,148.8594449778684,179.95538000354122,253.85411390256954,8,78,149,180,254,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Hampshire,NH,-1,2024-11-23,2024-11-16,CMU-TimeSeries,20.610099782164127,59.22514384303738,71.18946364482268,88.57344116361469,129.3402928126616,21,59,71,89,129,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Hampshire,NH,-1,2024-11-23,2024-11-16,CMU-TimeSeries,20.610099782164127,59.22514384303738,71.18946364482268,88.57344116361469,129.3402928126616,21,59,71,89,129,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Hampshire,NH,0,2024-11-23,2024-11-23,CMU-TimeSeries,15.982056297269366,62.58709582449682,78.72456215363292,96.69335504143507,140.41351689896598,16,63,79,97,140,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Hampshire,NH,0,2024-11-23,2024-11-23,CMU-TimeSeries,15.982056297269366,62.58709582449682,78.72456215363292,96.69335504143507,140.41351689896598,16,63,79,97,140,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Hampshire,NH,1,2024-11-23,2024-11-30,CMU-TimeSeries,10.757124347371168,65.99559844316565,88.53441044490877,106.99360121656807,154.23427099745123,11,66,89,107,154,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Hampshire,NH,1,2024-11-23,2024-11-30,CMU-TimeSeries,10.757124347371168,65.99559844316565,88.53441044490877,106.99360121656807,154.23427099745123,11,66,89,107,154,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Hampshire,NH,2,2024-11-23,2024-12-07,CMU-TimeSeries,11.644167443094123,69.92274813892088,95.49106208075231,119.09693751429496,183.98075905115905,12,70,95,119,184,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Hampshire,NH,2,2024-11-23,2024-12-07,CMU-TimeSeries,11.644167443094123,69.92274813892088,95.49106208075231,119.09693751429496,183.98075905115905,12,70,95,119,184,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Hampshire,NH,3,2024-11-23,2024-12-14,CMU-TimeSeries,13.528045262454707,71.14456778150158,102.80498159622314,125.81820125784216,188.6578678157358,14,71,103,126,189,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Hampshire,NH,3,2024-11-23,2024-12-14,CMU-TimeSeries,13.528045262454707,71.14456778150158,102.80498159622314,125.81820125784216,188.6578678157358,14,71,103,126,189,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Jersey,NJ,-1,2024-11-23,2024-11-16,CMU-TimeSeries,51.006528815689094,326.6856974854775,438.63316088443594,742.4189144200536,1115.2523335803703,51,327,439,742,1115,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Jersey,NJ,-1,2024-11-23,2024-11-16,CMU-TimeSeries,51.006528815689094,326.6856974854775,438.63316088443594,742.4189144200536,1115.2523335803703,51,327,439,742,1115,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Jersey,NJ,0,2024-11-23,2024-11-23,CMU-TimeSeries,18.502118049191232,347.96251749273904,509.6388851543039,786.8377440058696,1220.6885745902525,19,348,510,787,1221,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Jersey,NJ,0,2024-11-23,2024-11-23,CMU-TimeSeries,18.502118049191232,347.96251749273904,509.6388851543039,786.8377440058696,1220.6885745902525,19,348,510,787,1221,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Jersey,NJ,1,2024-11-23,2024-11-30,CMU-TimeSeries,11.067980415064039,382.92916370998773,574.9973102245362,832.5649880026218,1332.1942845979204,11,383,575,833,1332,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Jersey,NJ,1,2024-11-23,2024-11-30,CMU-TimeSeries,11.067980415064039,382.92916370998773,574.9973102245362,832.5649880026218,1332.1942845979204,11,383,575,833,1332,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Jersey,NJ,2,2024-11-23,2024-12-07,CMU-TimeSeries,11.067980415064039,407.03160375776,692.3456639183175,974.3991739453467,1430.2956535084197,11,407,692,974,1430,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Jersey,NJ,2,2024-11-23,2024-12-07,CMU-TimeSeries,11.067980415064039,407.03160375776,692.3456639183175,974.3991739453467,1430.2956535084197,11,407,692,974,1430,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Jersey,NJ,3,2024-11-23,2024-12-14,CMU-TimeSeries,10.776197055296269,393.3830764259165,721.6099275060108,1024.8140489681953,1489.1734062752623,11,393,722,1025,1489,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Jersey,NJ,3,2024-11-23,2024-12-14,CMU-TimeSeries,10.776197055296269,393.3830764259165,721.6099275060108,1024.8140489681953,1489.1734062752623,11,393,722,1025,1489,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Mexico,NM,-1,2024-11-23,2024-11-16,CMU-TimeSeries,16.050835024206627,110.37050932641438,157.33373074313045,202.23046293437028,270.4853198299787,16,110,157,202,270,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Mexico,NM,-1,2024-11-23,2024-11-16,CMU-TimeSeries,16.050835024206627,110.37050932641438,157.33373074313045,202.23046293437028,270.4853198299787,16,110,157,202,270,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Mexico,NM,0,2024-11-23,2024-11-23,CMU-TimeSeries,13.25883068795667,110.79408080075255,164.1469295149564,203.8728586632144,268.4529650810317,13,111,164,204,268,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Mexico,NM,0,2024-11-23,2024-11-23,CMU-TimeSeries,13.25883068795667,110.79408080075255,164.1469295149564,203.8728586632144,268.4529650810317,13,111,164,204,268,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Mexico,NM,1,2024-11-23,2024-11-30,CMU-TimeSeries,13.25883068795667,111.31162267543617,166.24736538410943,206.48056010576346,270.94728844042027,13,111,166,206,271,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Mexico,NM,1,2024-11-23,2024-11-30,CMU-TimeSeries,13.25883068795667,111.31162267543617,166.24736538410943,206.48056010576346,270.94728844042027,13,111,166,206,271,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Mexico,NM,2,2024-11-23,2024-12-07,CMU-TimeSeries,18.738450967118442,112.4341088491485,159.14057532165543,205.97494126565633,280.5868812582821,19,112,159,206,281,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Mexico,NM,2,2024-11-23,2024-12-07,CMU-TimeSeries,18.738450967118442,112.4341088491485,159.14057532165543,205.97494126565633,280.5868812582821,19,112,159,206,281,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Mexico,NM,3,2024-11-23,2024-12-14,CMU-TimeSeries,16.24099410593258,98.580992127138785,147.0537843481548,193.67254072497263,278.76007660766396,16,99,147,194,279,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New Mexico,NM,3,2024-11-23,2024-12-14,CMU-TimeSeries,16.24099410593258,98.580992127138785,147.0537843481548,193.67254072497263,278.76007660766396,16,99,147,194,279,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nevada,NV,-1,2024-11-23,2024-11-16,CMU-TimeSeries,19.054251428642978,105.35196351764783,137.73720157920997,191.89225777655037,336.4009933438359,19,105,138,192,336,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nevada,NV,-1,2024-11-23,2024-11-16,CMU-TimeSeries,19.054251428642978,105.35196351764783,137.73720157920997,191.89225777655037,336.4009933438359,19,105,138,192,336,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nevada,NV,0,2024-11-23,2024-11-23,CMU-TimeSeries,19.544145980262368,106.74580683670045,146.07572051553097,218.99738821153528,370.7533309311419,20,107,146,219,371,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nevada,NV,0,2024-11-23,2024-11-23,CMU-TimeSeries,19.544145980262368,106.74580683670045,146.07572051553097,218.99738821153528,370.7533309311419,20,107,146,219,371,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nevada,NV,1,2024-11-23,2024-11-30,CMU-TimeSeries,21.01345251159655,109.35368070686592,152.28345837293446,235.87439858922875,399.76601337931334,21,109,152,236,400,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nevada,NV,1,2024-11-23,2024-11-30,CMU-TimeSeries,21.01345251159655,109.35368070686592,152.28345837293446,235.87439858922875,399.76601337931334,21,109,152,236,400,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nevada,NV,2,2024-11-23,2024-12-07,CMU-TimeSeries,13.481323780448648,111.77451204368967,168.07205512244957,243.11324500453065,404.29596931799983,13,112,168,243,404,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nevada,NV,2,2024-11-23,2024-12-07,CMU-TimeSeries,13.481323780448648,111.77451204368967,168.07205512244957,243.11324500453065,404.29596931799983,13,112,168,243,404,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nevada,NV,3,2024-11-23,2024-12-14,CMU-TimeSeries,9.596324450702797,84.58744220452854,172.16209061542568,259.7673703097008,419.62251999190903,10,85,172,260,420,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Nevada,NV,3,2024-11-23,2024-12-14,CMU-TimeSeries,9.596324450702797,84.58744220452854,172.16209061542568,259.7673703097008,419.62251999190903,10,85,172,260,420,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New York,NY,-1,2024-11-23,2024-11-16,CMU-TimeSeries,58.931259776238,755.241403295648,1112.6138071833775,1609.5843394306723,2404.603422370845,59,755,1113,1610,2405,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New York,NY,-1,2024-11-23,2024-11-16,CMU-TimeSeries,58.931259776238,755.241403295648,1112.6138071833775,1609.5843394306723,2404.603422370845,59,755,1113,1610,2405,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New York,NY,0,2024-11-23,2024-11-23,CMU-TimeSeries,51.021595480827315,777.8796357435098,1242.4975922187587,1667.5319332334952,2597.623248892442,51,778,1242,1668,2598,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New York,NY,0,2024-11-23,2024-11-23,CMU-TimeSeries,51.021595480827315,777.8796357435098,1242.4975922187587,1667.5319332334952,2597.623248892442,51,778,1242,1668,2598,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New York,NY,1,2024-11-23,2024-11-30,CMU-TimeSeries,51.021595480827315,824.0274199291655,1354.660540174329,1821.669645904253,2831.5409886668212,51,824,1355,1822,2832,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New York,NY,1,2024-11-23,2024-11-30,CMU-TimeSeries,51.021595480827315,824.0274199291655,1354.660540174329,1821.669645904253,2831.5409886668212,51,824,1355,1822,2832,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New York,NY,2,2024-11-23,2024-12-07,CMU-TimeSeries,51.021595480827315,871.8500688970571,1543.2263363949044,2156.2407782780474,3049.0345782671798,51,872,1543,2156,3049,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New York,NY,2,2024-11-23,2024-12-07,CMU-TimeSeries,51.021595480827315,871.8500688970571,1543.2263363949044,2156.2407782780474,3049.0345782671798,51,872,1543,2156,3049,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New York,NY,3,2024-11-23,2024-12-14,CMU-TimeSeries,50.38703932709039,747.4755456466225,1600.116565818739,2236.705780996031,3101.1994714081593,50,747,1600,2237,3101,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
New York,NY,3,2024-11-23,2024-12-14,CMU-TimeSeries,50.38703932709039,747.4755456466225,1600.116565818739,2236.705780996031,3101.1994714081593,50,747,1600,2237,3101,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Ohio,OH,-1,2024-11-23,2024-11-16,CMU-TimeSeries,105.92360092376012,520.7495752877651,811.4608051627049,949.5566660457415,1279.4564696166892,106,521,811,950,1279,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Ohio,OH,-1,2024-11-23,2024-11-16,CMU-TimeSeries,105.92360092376012,520.7495752877651,811.4608051627049,949.5566660457415,1279.4564696166892,106,521,811,950,1279,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Ohio,OH,0,2024-11-23,2024-11-23,CMU-TimeSeries,93.13672117009881,553.9222810458912,883.9399348213791,1021.6982760760809,1419.202879326183,93,554,884,1022,1419,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Ohio,OH,0,2024-11-23,2024-11-23,CMU-TimeSeries,93.13672117009881,553.9222810458912,883.9399348213791,1021.6982760760809,1419.202879326183,93,554,884,1022,1419,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Ohio,OH,1,2024-11-23,2024-11-30,CMU-TimeSeries,59.931972754937384,637.3474147243733,944.2724782892833,1186.292676245256,1654.5651019368463,60,637,944,1186,1655,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Ohio,OH,1,2024-11-23,2024-11-30,CMU-TimeSeries,59.931972754937384,637.3474147243733,944.2724782892833,1186.292676245256,1654.5651019368463,60,637,944,1186,1655,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Ohio,OH,2,2024-11-23,2024-12-07,CMU-TimeSeries,77.14690646880352,742.8022596666299,1047.3624896075573,1285.391174706851,1793.4805066143488,77,743,1047,1285,1793,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Ohio,OH,2,2024-11-23,2024-12-07,CMU-TimeSeries,77.14690646880352,742.8022596666299,1047.3624896075573,1285.391174706851,1793.4805066143488,77,743,1047,1285,1793,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Ohio,OH,3,2024-11-23,2024-12-14,CMU-TimeSeries,99.50538291199602,700.0778319826794,1099.6970747371504,1359.4766684144415,1852.9661179664006,100,700,1100,1359,1853,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Ohio,OH,3,2024-11-23,2024-12-14,CMU-TimeSeries,99.50538291199602,700.0778319826794,1099.6970747371504,1359.4766684144415,1852.9661179664006,100,700,1100,1359,1853,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Oklahoma,OK,-1,2024-11-23,2024-11-16,CMU-TimeSeries,10.560182626915795,112.90126819512338,160.99347776382174,198.6718730855149,327.5011094214835,11,113,161,199,328,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Oklahoma,OK,-1,2024-11-23,2024-11-16,CMU-TimeSeries,10.560182626915795,112.90126819512338,160.99347776382174,198.6718730855149,327.5011094214835,11,113,161,199,328,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Oklahoma,OK,0,2024-11-23,2024-11-23,CMU-TimeSeries,15.305420378125996,116.90494666150559,171.87022330322839,260.550735969852,406.2051008015509,15,117,172,261,406,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Oklahoma,OK,0,2024-11-23,2024-11-23,CMU-TimeSeries,15.305420378125996,116.90494666150559,171.87022330322839,260.550735969852,406.2051008015509,15,117,172,261,406,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Oklahoma,OK,1,2024-11-23,2024-11-30,CMU-TimeSeries,10.560182626915795,121.89032572504756,195.536666464576,296.5370245318401,461.0312511776538,11,122,196,297,461,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
Oklahoma,OK,1,2024-11-23,2024-11-30,CMU-TimeSeries,10.560182626915795,121.89032572504756,195.536666464576,296.5370245318401,461.0312511776538,11,122,196,297,461,Carnegie Mellon Delphi Group,AR ensemble with auxiliary data
