target_end_date,value,output_type_id,horizon,output_type,reference_date,location,target
2026-05-02,9.0604561,0.9,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,10.02054,0.9,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,10.565702,0.9,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,8.7557743,0.95,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,10.238665,0.95,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,10.835186,0.95,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,12.179536,0.95,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,13.31996,0.95,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,10.073679,0.975,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,11.779052,0.975,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,12.507875,0.975,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,14.503671,0.975,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,15.754028,0.975,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,11.215565,0.99,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,14.066266,0.99,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,14.907345,0.99,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,18.006664,0.99,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,19.167776,0.99,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,18.123218,0.01,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,15.561635,0.01,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,13.766409,0.01,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,11.43985,0.01,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,10.789328,0.01,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,19.169715,0.025,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,16.822826,0.025,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,15.508611,0.025,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,13.755026,0.025,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,12.656852,0.025,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,19.995529,0.05,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,18.147042,0.05,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,17.216315,0.05,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,15.364986,0.05,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,14.156428,0.05,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,21.245255,0.1,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,20.104174,0.1,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,19.073682,0.1,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,17.986357,0.1,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,16.799856,0.1,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,21.930614,0.15,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,21.237135,0.15,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,20.380943,0.15,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,19.685871,0.15,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,19.511305,0.15,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,22.662793,0.2,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,22.137721,0.2,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,21.546357,0.2,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,21.279481,0.2,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,21.353556,0.2,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,23.161097,0.25,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,23.068183,0.25,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,22.535424,0.25,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,22.925414,0.25,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,23.308872,0.25,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,23.723293,0.3,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,23.86653,0.3,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,23.721636,0.3,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,24.325462,0.3,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,25.392425,0.3,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,24.176396,0.35,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,24.548237,0.35,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,24.739976,0.35,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,25.903333,0.35,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,27.459805,0.35,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,24.656765,0.4,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,25.255544,0.4,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,25.906544,0.4,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,27.582814,0.4,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,29.576485,0.4,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,25.09616,0.45,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,26.160655,0.45,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,26.968051,0.45,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,29.204024,0.45,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,31.63644,0.45,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,25.53816,0.5,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,26.886374,0.5,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,28.149325,0.5,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,31.18953,0.5,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,34.450611,0.5,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,25.911686,0.55,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,27.534114,0.55,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,29.602225,0.55,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,33.027994,0.55,2,quantile,2026-04-25,04,wk inc covid hosp
