location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
46,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,128.7233051564101
47,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,770.2823590311748
48,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,296.07564902585807
49,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,31.250337609684234
50,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,98.50228864509273
51,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,321.7475002887281
53,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,81.94937025288316
54,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,209.32404637330376
55,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,113.74086168843185
56,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,31.719343004208955
72,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,5294.542647579373
US,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,1268.5559083359246
01,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,96.61529348395264
02,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,30.142165946167005
04,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,178.56239275989228
05,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,789.4207159062751
06,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,468.18955173702506
08,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,186.3494750052838
09,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,94.94839760472486
10,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,34.30817296397067
11,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,807.3307910041581
12,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,726.039636707521
13,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,203.58938308467896
15,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,55.177755633404736
16,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,187.4091097649672
17,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,248.70429377274533
18,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,195.18904449768172
19,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,87.59899185950536
20,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,173.94309033129346
21,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,198.7074042745692
22,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,118.06317408034569
23,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,120.95887124824722
24,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,232.46475332125638
25,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,484.909932733076
26,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,297.4616553772351
27,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,95.84845307839674
28,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,150.04036950316416
29,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,166.07144832336107
30,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,42.50625688282848
31,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,89.77521079686383
32,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,62.6191436998513
33,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,244.47213505080947
34,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,120.57672072477581
35,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,530.1478545145628
36,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,892.2941207847944
37,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,155.20410945860615
38,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,242.48033376029872
39,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,233.7895302528858
40,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,182.731334765178
41,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,303.61528479496485
42,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,209.86140089137658
44,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,88.7489835585605
45,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,67.72854613452012
46,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,117.13735877695174
47,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,761.6526773689072
48,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,278.787563918668
49,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,29.58893681787965
50,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,78.35346985536475
51,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,342.3011952459165
53,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,84.78516930925932
54,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,219.70923979999375
55,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.025,120.88762738397782
