location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
21,0,0.1,10.991965869372077,2026-05-09,2026-05-09,quantile,wk inc covid hosp
22,0,0.1,14.273791590742327,2026-05-09,2026-05-09,quantile,wk inc covid hosp
23,0,0.1,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
24,0,0.1,9.466532320255553,2026-05-09,2026-05-09,quantile,wk inc covid hosp
25,0,0.1,16.9995591562259,2026-05-09,2026-05-09,quantile,wk inc covid hosp
26,0,0.1,3.8010262609571592,2026-05-09,2026-05-09,quantile,wk inc covid hosp
27,0,0.1,15.019771697544222,2026-05-09,2026-05-09,quantile,wk inc covid hosp
28,0,0.1,3.49075750125753,2026-05-09,2026-05-09,quantile,wk inc covid hosp
29,0,0.1,9.09997812407181,2026-05-09,2026-05-09,quantile,wk inc covid hosp
30,0,0.1,3.5227399758997677,2026-05-09,2026-05-09,quantile,wk inc covid hosp
31,0,0.1,0.395422441042679,2026-05-09,2026-05-09,quantile,wk inc covid hosp
32,0,0.1,1.88132064191645,2026-05-09,2026-05-09,quantile,wk inc covid hosp
33,0,0.1,3.3967677567429613,2026-05-09,2026-05-09,quantile,wk inc covid hosp
34,0,0.1,40.87554762699564,2026-05-09,2026-05-09,quantile,wk inc covid hosp
35,0,0.1,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
36,0,0.1,106.62285026983074,2026-05-09,2026-05-09,quantile,wk inc covid hosp
37,0,0.1,52.81589026111616,2026-05-09,2026-05-09,quantile,wk inc covid hosp
38,0,0.1,1.3198698009334178,2026-05-09,2026-05-09,quantile,wk inc covid hosp
39,0,0.1,26.8895601264567,2026-05-09,2026-05-09,quantile,wk inc covid hosp
40,0,0.1,0.6600663758399864,2026-05-09,2026-05-09,quantile,wk inc covid hosp
41,0,0.1,1.7810391468295128,2026-05-09,2026-05-09,quantile,wk inc covid hosp
42,0,0.1,68.11936125284528,2026-05-09,2026-05-09,quantile,wk inc covid hosp
44,0,0.1,1.15299075242784,2026-05-09,2026-05-09,quantile,wk inc covid hosp
45,0,0.1,18.506329880123047,2026-05-09,2026-05-09,quantile,wk inc covid hosp
46,0,0.1,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
47,0,0.1,25.05314479499592,2026-05-09,2026-05-09,quantile,wk inc covid hosp
48,0,0.1,36.40828481856127,2026-05-09,2026-05-09,quantile,wk inc covid hosp
49,0,0.1,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
50,0,0.1,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
51,0,0.1,29.88768379231057,2026-05-09,2026-05-09,quantile,wk inc covid hosp
53,0,0.1,15.143794801322688,2026-05-09,2026-05-09,quantile,wk inc covid hosp
54,0,0.1,5.618274182238127,2026-05-09,2026-05-09,quantile,wk inc covid hosp
55,0,0.1,12.679644331151405,2026-05-09,2026-05-09,quantile,wk inc covid hosp
56,0,0.1,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
72,0,0.1,19.283503597696704,2026-05-09,2026-05-09,quantile,wk inc covid hosp
US,0,0.1,1157.299312148616,2026-05-09,2026-05-09,quantile,wk inc covid hosp
01,0,0.15,32.608571299922815,2026-05-09,2026-05-09,quantile,wk inc covid hosp
02,0,0.15,0.12353260097660888,2026-05-09,2026-05-09,quantile,wk inc covid hosp
04,0,0.15,17.698703179969055,2026-05-09,2026-05-09,quantile,wk inc covid hosp
05,0,0.15,2.099958243315486,2026-05-09,2026-05-09,quantile,wk inc covid hosp
06,0,0.15,125.00088553208533,2026-05-09,2026-05-09,quantile,wk inc covid hosp
08,0,0.15,10.33885245242817,2026-05-09,2026-05-09,quantile,wk inc covid hosp
09,0,0.15,5.08481457715957,2026-05-09,2026-05-09,quantile,wk inc covid hosp
10,0,0.15,3.793796929992961,2026-05-09,2026-05-09,quantile,wk inc covid hosp
11,0,0.15,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
12,0,0.15,66.77984641472243,2026-05-09,2026-05-09,quantile,wk inc covid hosp
13,0,0.15,22.405878982495008,2026-05-09,2026-05-09,quantile,wk inc covid hosp
15,0,0.15,0.3970102567267726,2026-05-09,2026-05-09,quantile,wk inc covid hosp
16,0,0.15,4.291217519215109,2026-05-09,2026-05-09,quantile,wk inc covid hosp
17,0,0.15,17.91937802633503,2026-05-09,2026-05-09,quantile,wk inc covid hosp
18,0,0.15,13.852823419466484,2026-05-09,2026-05-09,quantile,wk inc covid hosp
19,0,0.15,3.411927123460962,2026-05-09,2026-05-09,quantile,wk inc covid hosp
20,0,0.15,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
21,0,0.15,13.38431332825805,2026-05-09,2026-05-09,quantile,wk inc covid hosp
