location_name,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
Alabama,2.263834629939519,2.263834629939519,2.263834629939519,111,111,111,2.26,2.26,2.26,111,111,111,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.4677836956998362,2.4677836956998362,2.4677836956998362,121,121,121,2.47,2.47,2.47,121,121,121,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.7125225746122164,2.7125225746122164,2.7125225746122164,133,133,133,2.71,2.71,2.71,133,133,133,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,3.0184461732526917,3.0184461732526917,3.0184461732526917,148,148,148,3.02,3.02,3.02,148,148,148,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,3.7186712990297734,3.7186712990297734,3.7186712990297734,182.333333333333,182.333333333333,182.333333333333,3.72,3.72,3.72,182,182,182,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,4.20135075466253,4.20135075466253,4.20135075466253,206,206,206,4.2,4.2,4.2,206,206,206,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,4.596284760550969,4.596284760550969,4.596284760550969,225.364344936621,225.364344936621,225.364344936621,4.6,4.6,4.6,225,225,225,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,5.121148953299091,5.121148953299091,5.121148953299091,251.099407305818,251.099407305818,251.099407305818,5.12,5.12,5.12,251,251,251,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.023193312404201246,0.023193312404201246,0.023193312404201246,0.169669517227314,0.169669517227314,0.169669517227314,0.02,0.02,0.02,0,0,0,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.13378298026777682,0.13378298026777682,0.13378298026777682,0.978682702999908,0.978682702999908,0.978682702999908,0.13,0.13,0.13,1,1,1,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.30578222121892296,0.30578222121892296,0.30578222121892296,2.23693455021597,2.23693455021597,2.23693455021597,0.31,0.31,0.31,2,2,2,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.44116745041753413,0.44116745041753413,0.44116745041753413,3.22733842515695,3.22733842515695,3.22733842515695,0.44,0.44,0.44,3,3,3,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.5467879624630064,0.5467879624630064,0.5467879624630064,4,4,4,0.55,0.55,0.55,4,4,4,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.804361939226228,0.804361939226228,0.804361939226228,5.88426954831251,5.88426954831251,5.88426954831251,0.8,0.8,0.8,6,6,6,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.8294604226661367,0.8294604226661367,0.8294604226661367,6.06787624899299,6.06787624899299,6.06787624899299,0.83,0.83,0.83,6,6,6,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.8303245326113199,0.8303245326113199,0.8303245326113199,6.07419760209148,6.07419760209148,6.07419760209148,0.83,0.83,0.83,6,6,6,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.8463070041108395,0.8463070041108395,0.8463070041108395,6.19111657322264,6.19111657322264,6.19111657322264,0.85,0.85,0.85,6,6,6,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
